z,comment,sentiment
11,جناب آقای رشید پور سلام. اگر امکان دارد از همکاران زحمتکش پشت صحنه به نوبت حالا هر طور خودتان میدانید دعوت بشود تا ما آنها را ببینیم واز این طریق ازشان قدر دانی بشود. برنامه فوق العاده است خدا قوت. سلجوقی از بندرعباس,1
12,"عرض سلام خدمت برنامه‌ی حالا خورشید. متاسفانه طی ظلمی که در دوره‌ی وزیر سابق بهداشت بر ما روا داشته_شد، برده داری نوین را به نحوی احیا کردند. در حالی که خیلی از ما‌ها به صورت عادی به عنوان دانشجوی پزشکی پذیرفته میشدیم، با طرح جدید وزارت که تبدیل به قانون شد عملا سهمیه‌ی روزانه کاسته_شد و ما نیز که عمدتا از قشر متوسط و ضعیف جامعه بودیم توانایی پرداخت هزینه‌های گزاف پذیرش در سهمیه‌ی مازاد و بین الملل را نداشتیم و تن به این تعهد اجباری دادیم. تعهدی که اخیرا شرایطی قرار است تحمیل کنند که ما از قبل ان را نمی‌دانستیم و اخیرا اعلام وصول در مجلس شده. متاسفانه هیچ کسی حاضر به شنیدن حرف ما نیست، ما تریبونی میخواهیم که فقط بتوانیم حرفمان را بزنیم، صدای ما افراد معمولی را بشنوید و بگذارید درخواست هایمان را، پیشنهادهایمان را ارائه بدهیم. خدا میداند تقریبا همه‌ی ما رتبه‌های برتر هستیم اما متاسفانه مسئولین به این امر بدیهی هم واقف نیستند. خواهش میکنیم اجازه بدهید ما صحبت هایمان را در میان بگذاریم. نماینده‌ی ما در تلگرام ID هست که تمامی کم لطفی‌ها، درخواست‌ها، پیشنهادات و... را در اختیارتان قرار خواهد_داد TAG دانشجویان سهمیه مناطق محروم رشته‌های پزشکی دندانپزشکی و داروسازی مقطع عمومی سهمیه‌ی مناطق محروم",0
13,سلام وعرض LINK رشیدپور دررابطه با سهمیه و خدماتی که برای ایثارگران و خانواده هایشان درنظرگرفته شده و بقول خودشان تصویب شده! پس کو؟ چرا فقط دبدبه و کب کبه شونو ب گوش ملت میرسونن؟ چرا فقط دوس دارن سروصدا ب پا کنن و بگن ماداریم حمایتشون میکنیم؟ کو حمایت؟ کلی موضوع و هدف لیست کردن تو یه کاغذو میدن دست ماو ادعا دارن ک تصویب شده ولی وقتی مستقیما ارتباط میگیریم باهاشون و درخواست میکنیم میگن بودجه نیس!!! اگه نیست پس چرا تصویب شده؟ برنامه چیه؟ درحال حاضر مادرحال ساخت منزل مسکونیمون هستیم و درگیر انشعابات LINK حتی یک درصد هم نتونستیم از این ارگان کمک LINK هم که میشیم ادارات مرتبط با انشعاب میفرماین که بودجه LINK وقتی ب سپاه مراجعه میکنیم میگن تصویب شده و بودجه دردست اون سازمانه (اداره توزیع LINK و فاضلاب و...) برنامه اینه؟ از این اداره پاسمون بدن به اداره بغلی تا خسته و درنهایت منصرف بشیم؟؟ ماساکن قم هستیم چندی پیش که مجدد پیگیراساسی شدیم وزارت سپاه فرمودن که این مصوبه هارو نامه کنید تحویل نمایندتون جناب امیر آبادیه عزیز بدین و بفرمایین LINK و تبصره هایی که برای ایثارگران درنظر گرفتینو بزارین دم کوزه آبشو بخورین!!! همش حرف و LINK میشم اگر پیگیری بفرمایین...,-1
14,🖒 🖒 🌷 🌷,1
15,مهمان برنامتون گذارشگر فوتبال اصفهان نیست؟؟ 🙄 🤔,0
16,اقعا تاسف اوره...,-1
17,سلام آقای رشید پور لطفا راجب ظلمهایی که شهرداری کرج داره انجام میده حرف بزنید... شهرداری داره به زور پول‌های میلیونی میگیره و اگه اکسی نداشته باشه بده اب و برق و گاز خونشونو قطع میکنه یا دستور بسته شدن راه ورودی ساختمان رو میده... شهرک خاتم در کرج هیچ امکاناتی نداره که شهرداری بخواد این همه پول از مالکاش بگیره.,-1
18,سلام جناب رشیدپور وقتی شما از پایان سال صحبت میکنید من دلشوره میگیرم که با این گرونی چطور میتونم دل بچه هامو شاد کنم خواهش میکنم هروز به مسیولین گوشزد کنید,-1
19,سلام آقای رشید پور نمیدونم با خودم چی فکر کردم که دارم اینجا برای شما این‌ها رو مینویسم چون NUM۳ درصد مطمئن هستم حتی نگاه هم نخاهی کرد ولی از صبح امروز تا الان یه حسی مدام بهم میگفت اینکار رو بکن تا الان که به جبر دارم مینویسم من از استان یزد شهر میبد هستم اسمم ابوالفضل بیغرضهست NUM۲ سالمه آقا رضا اگه شما با کمک تلوزیون بتونی جلوی یتیم بزرگ شدن دوتا بچه‌های منو بگیری آیا اینکار رو میکنید. دوتا پسر هام ۳ساله و ۵ساله را از بی مادر بزرگ شدن نجات میدی باتشکر NUM ۱۱ تلفن من,0
20,سلام به برنامه خوبتون من سرباز وظیفه هستم و در منطقه محروم خدمت میکنم قبل خدمت من هم تو کار میوه و هم ماهی بودم خلاصه پولدار نبودم ولی محتاج کسی نبودم اما الان سربازم تو کوه‌ها و ارتفاعات باید اینجا دوماه نگهبانی بدم در نتیجه نمیتونم کار کنم تو خدمت چون شرایطش نمیزاره الانم دم عیده همون چندرغاز رو هم نریختن همه ارگانا ریختن فقط ارتش نریخته جالب حقوق کادرهاشو زودتر ریخته ولی کل سربازای ارتش هنوز نه!! حالا بعضی از سربازا مثل رفیقم متاهل اند من گناهم چیه افتادم ارتش لطفا پیگیری کنید و از مسعولین ارتش که ادعا دارن سرباز رو اذیت نمیکنن و مثلا انصاف دارن و کارشون رو نظمه دلیلشو جویا شید,-1
21,اقای رشید پور تو رو خدا اگر پیامارو میخونید شما یه کاری کنید از پنجشنبه نه اسفند تاامروز یازده اسفند باز سایپا قیمتاشو برده LINK هیچکس هیچکاری نمکنه اخه,-1
22,سلام اقای رشیدپورماماهانه NUM۵ هزارتومان درامدمامیباشدوبه ماسبدکالانمیدهندچه دلیلی داردنمیدانم تورخداپیگرباشید,-1
23,اقای رشیدپورتوروخدا یه جواب به من بدیدشب عیدخیلی گرفتاریم,-1
24,سلام اقای رشید پور من یکی ازطرفداران شما هستم من باز نشسته اموزش و پرورش وسی ویک سال برای بچه‌های این مملکت زحمت کشیده_ام خودتان مطلع هستید زیر فقر حقوق میگیرم NUM۲ سالمه همسرم بازنشسته ذوب اهن هستند ودچار الزایمر وسرطان میباشند تا به امروز حقوق وعیدی فولادرا پرداخت نکرده_اند‌تر ا خدا مطرح کنید وصدای مارا به مرفحین بی درد برسونید با تشکر وقدرانی ازشما,-1
25,آقای رشید پور این پول قرعه کشی رو که هر روز میدین بدین دولت بوجه نداره بیچاره,0
26,مستر بین سیو کردم,0
27,سخت‌ترین خداحافظی با مادرم هنگام مرگ بود در NUM۱ سال پیش,-1
28,خداحافظی با اخلاق بدم,0
29,خدا حافظی با اجیل,0
30,خداحفظی با رشید پور و حالا خورشید @,0
31,سلام آقای رشیدپور یه لطفی بکن این پرویز نشاط را بفرست کلاس اکابر تا ۱تا NUM۲ رو یاد بگیره که از NUM۲ نفره رو شماره ۵,0
32,کیش,0
33,دوستان عزیزم برای من دعا کنید چون مشکل بزرگی مالی برام پیش آمده و خداوند با دعای خیر شما عزیزان جان مشکل مالی ام را حل کند. ممنون شمام یا الله دل من و همسرم و خانواده‌ام را با حل مشکل بزرگ مالی ام شاد کن یا الله تو بزرگ‌تر از مشکلات هستی.,-1
34,💙 💚 💛 🧡💜...,1
35,لطفا قانون اساسی و حضور بیگانگان و نیروهای خارجی در ایران را بخوانید,0
36,از حالا خورشید چه خبر؟,0
37,چه خبر از حالا خورشید؟ زود باشید دیگه,0
38,امروز تو خبر داغ نوشته_بود فصل جدید حالا خورشید شروع میشه خیلی خوشحال شدم,1
39,اقای رشید پور دلمون برای هم خودتون ودوستاتون وبرنامه خوبتون تنگ شده 💐 💐,-1
40,اقای رشید پور این برنامه‌ای که به جای برنامه شما گذاشتن واقعا بی خوده واقعا که برنامه به اون قشنگی شمارو برداشتن وجاش چی گذاشتن😥 😥 😥 😥 😔 😔 😕 😕 😕 🤔🤔🤔,0
41,افزایش ظرفیت تهدید سلامت,-1
42,توروخدا زود برگردید حالم از این سلام صبح بخیر بهم میخوره😐,0
43,صب بخیر اقای رشید پور برنامع تون خیلی جالبه,1
44,*NUM۱* ۱۲,0
45,آقای رشید پور ما آجیلو بین فامیل پولشو تقسیم کردیم,0
46,جناب رشید پور شب یلدامون با مهمونات خراب کردی اون شقایق دهقان با خاطرات مسخره‌اش اخه چقدر برا مردم مهمه یه خواننده‌ای می‌اوردی باز باعث شادی میشد اونوقت بگین چرا مردم ماهواره میبینند و برنامه‌های چرت مارو نمیبینند عیدمونو هم با خاطرات میخره هنرمندان بازیگر خراب میکنین از خدا بترسین مردم در این عید‌ها نیازمند برنامه‌های شاد هستند وای دهقان که دیگه خیلی مسخره است برای شب یلدا,-1
47,"سلام برادر عزیزتر از جانم اقای رشید پور،،، با دعوت از پاکبان زحمتکش و بر خورد صمیمانه‌ات نهایت تشکر را دارم،، خیلی مردی،، بامرامی،، دو رکعت نماز برای سلامتی خودت و خانواده عزیزت در حرم اقا امام رضا (ع) بجا می‌اورم،،، قربانت رزمنده دفاع مقدس،،",1
48,👌 👌 👌,1
49,سلام صبح به خیر من چه طوری می‌توانم از برنامه قرعه کشی بیرون بیام,0
50,🌴 و🌴 🌴,0
51,در مورد قطع درختان ارسباران از مسئولان توضیح بخواهید,0
52,جناب رشیدپور سلام عذرخواهم برای پوششتان از رنگ‌های روشن وشاد استفاده کنید,0
53,"سلام،، اقای رشید پور،،، سلام ما را به جاج محسن رضائی برسانید،،، عملیات کربلای NUM۱ هم لو رفت،، ولی در کل ما پیروز جنگ شدیم،،، اگر حاج محسن و امثال او نبود،، الان همه ما عربی صحبت میکردیم،،،",0
54,‏محسن رضایی و قاسم سلیمانی اومدن در برنامه حالا خورشید رو گند آقا محسن در توییتر ماله کشیدن - زین پس بجای حالا خورشید بگید حالا خر شید,-1
55,سلام چطوری میتونم ازبرنامه قرعه کشی بیرون بیام,0
56,🥁🥁🥁🤹‍♂🤹‍♂🥁🥁🥁 اگه دنبال بازی و کاردستی‌های ساده و آموزنده برای فرزند دلبندتون هستین. حتما به پیج کودک باشی سر بزنید. 🌺 🌺 🌺 🌺 🌺 🌺 🌺 🌺 🌺,0
57,اقای رشید پور این اقای تاریقلی همه حرفاش مفت بود,-1
58,اصلأ نمیشه شخصیت رشید پور شناخت,-1
59,سلام,0
60,لطفا به پیج من سر بزنید🙏,0
61,‌‌,0
62,به پیج ما سر بزنید,0
63,جدیدترین صحبت‌های پناهیان در خصوص چهلمین سالگرد انقلاب LINK=ig_share_sheet&igshid=۱a۸i۳lg۵ofoyr,0
64,سلام در مورد استخدام معلولان هم صحبت کن,0
65,حسین محب اهری درگذشت روحش شاد,-1
66,درب ضد سرقت TAG حذف واسطه TAG قیمت استثنایی TAG فقط NUM۳ تومان ۰۹۳۵۴۶۳۷۲۶۷,0
67,سلام دوستان من یه پویشی هستم به اسم سیبزمنی که میخوام نشون بدم حتی سیبزمنی هم میتونه لایک جمع کنه پس سلبریتی بودن مهم نیست برای لایک جمع کزدن و پیشنهاد بدم ادم باشیم نه سلبریتی ID@rahtekdc,0
68,سلام دوستان من یه پویشی هستم به اسم سیبزمنی که میخوام نشون بدم حتی سیبزمنی هم میتونه لایک جمع کنه پس سلبریتی بودن مهم نیست برای لایک جمع کزدن و پیشنهاد بدم ادم باشیم نه سلبریتی ID,0
69,بد نیست برنامه‌ای رو هم به جنایت وحشتناک مالچ پاشی اختصاص بدید. محیط زیست در خطر است💔,-1
70,سلام و خسته نباشید لطفا میشه پیگیری کنید چرا شهریه ثابت دانشگاه پیام نور رو اینقدر هی هر ترم دارن افزایش میدن؟ حالا خورشید رشید پور ID,-1
71,با سلام باتوجه به اینکه بارها از تنبیه دانش آموزان توسط معلم اطلاع رسانی و منع شده_است با کمال تاسف امروز سی ام دیماه پسر من توسط معلم دبیرستان امام رضا واقع در ورداورد با لگد به صورتش کوبیده زخمی و خونی به خونه LINK که باز هم اطلعطلاع رسانی کنید که چنین اتفاقی نیفتد.,-1
72,الان خیلی افتخار میکنین ب اینکه‌ی دزد رو آوردین نشسته از بدبختی هایی ک سر مردم آورده با افتخار تعریف میکنه؟؟؟ شمام ک هر‌ هر بخندین,-1
73,سلام من یک خانواده ضعیف از نظر مالیم که پسرم مریضه اگه بتونید کمکم کنید تا پیش بچهام شرمنده نشم تا آخر عمر خودمو خانوادم دعاتون میکنیم,-1
74,چقققد این دزده باحال بود 🤣🤣🤣,1
75,نههه ترقرآن خب اگه همچین قصدی داشتین باید موقع انتخاب رشته میگفتید که ما بدبخت نشیممم,-1
76,😢 😢 😢 😢 😢 😢 😢,-1
77,نه به استخدام _پیمانی_دانشجو_ معلمان_ ۹۷,-1
78,چرا دیگه برنامه پخش نمیشه,-1
79,سلام خدمت آقای رشید پور مجری همه چی تمام از همه نظر دلمون برای اون روی ماهتون تنگ شده انشاالله که از فردا میبینیمتون,1
80,کلاهبرداری بزرگ مسابقه بزرگ شبکه سه لطفا یکی به داد من برسه صدای منو هیچ کس نمیشنوه آخرین امیدم برنامه شماست,-1
81,سلام وقت بخیر لطفا در مورد دکتر‌های متخصصی که با هزار دک پوز مطب‌ها ولی به دلیل فرار از مالیات یا چیزهای دیگه دستگاه پوز ندارن,-1
82,سلام خدمت آقای رشید پور من از شهر رشت پیام میدم در شهرک مسکن مهر زندگی میکنیم کارمند هستم دخترم NUM۱ سال داره کلاس دوم چند روز پیش یه برگه اورده که اولیا و انجمن مدرسه واسه هر دانش اموز NUM۳ هزار تومان بصورت هدیه درخواست کردن وحتی گفتن اگه یهو نمیتونین پرداخت کنید به صورت قسطی توی NUM۱ ماه پرداخت کنید اگه خواستین عکس بگیرم براتون بفرستم ولی نمیدونم به کجا براتون بفرستم حساب کنید مدرسه دو شیفته در هر شیفت خیلی بدبینانه NUM۳ تا دانش اموز داشته_باشد چقدر میشه خدایی رسیدگی کنید بعدشم مدرسه نو ساز اینقدر خرج داره؟ تازه شنیدم اگه پرداخت نشه کارنامه دانش اموز داده نمیشود,-1
83,سلام صبحتون بخیر برنامتون خیلی عالیه,1
84,سلام این کانال واقعیتونه,0
85,این پیج اصلیه؟؟؟,0
86,سلام اقای رشید پور درباره نظر سنجی امروز خواستم بگم بنده با فضای مجازی اطلاعات میگیرم وروزانه تو خونه به سختی چیزهای خونگی درست میکنم خرج سه تا بچه هامو میدم,1
87,سلام جناب رشیید وپور خسته نباشید. من به نمایندگی از بچه هایی هستم که NUM۲ ماه پیش آزمون پالایشگاه نفت ستاره خلیج فارس هرمزگان دادیم و یک ماه بعد اسامی قبولی‌ها اعلام شد و مصاحبه‌ی فنی و روانشناسی هم انجام دادیم و همه مراحل رو با موفقیت سپری کردیم. اما الان NUM۲ ماهه که ما سردرگمیم و نمیدونیم تکلیفمون چیه و چرا هیچ خبری از مسولین شرکت نیست و هر چی تماس میگیریم یک نفر پیدا نمیشه که به ما اطلاعاتی بده که چرا ماها دعوت به کار نمیشیم. کلی شرایط شغلی رو از دست دادیم فقط به خاطر اینکه مطمین بودیم قبولیم... لطفا اینو انعکاس بدید چرا که خونواده‌های ما واقعا توی استرس و اضطرابن.. شاید تلنگری بشه برا مسولین نفت ستاره خلیج فارس که یادشون بیاد میلیونها تومن پول بابت این آزمون گرفتن از این جوونهای بی گناه,-1
88,رشید پور چرا انقد اروم دستتو میزاری رو دستت یا زیر چونت؟: /,0
89,سلام آقای رشید پور لطفا لطفااا درباره NUM۲ ماه حقوق نگرفتن بیمارستان امام خمینی کرج صحبت کنید صدای مارو به گوش مسولین برسونید به جایی رسیده که پرسنل به فکر کلیه فروشی هستند به همه جا هم نامه داده شده و کلی وعده وعید به ما دادن ما کلی تجمع کردیم ولی کسی نیست مارو از این وضعیت نجات بده با این وضع اقتصادی واقعا سخته مسولین خودتونو لطفا جای ما بذارید 😑 😑 😑 📣 📣 📣 📣 📣 📣 📣 📣 📢 📣 📣 📣,-1
90,ادامه_تحصیل_لیسانس_علوم_آزمایشگاهی_نداریم TAG علوم آزمایشگاهی شماره نظام پزشکی ندارد,-1
91,ادامه تحصیل لیسانس علوم آزمایشگاهی نداریم علوم آزمایشگاهی شماره نظام پزشکی ندارد,-1
92,ادامه تحصیل لیسانس علوم آزمایشگاهی نداریم,-1
93,علوم آزمایشگاهی شماره نظام پزشکی ندارد,-1
94,سلام جناب رشید پور مقصر دولت رسیدگی نمیکنه وقتی راننده نمیتونه زندگیشا تامین بکنه مجبوره با ماشین ترمز خراب کارکنان وقتی از از جون خودش بگذره میخوای بفکرجون بقیه باشه امکان داره ترمز ببره وصدها ماشینا زیر کنه دولت چکارمیکنی چه اهمیتی داره شما یدیقه تو تلویزیون اعلام می‌کنی میری,-1
95,برنامه شما هم ماست مالی شده... خبر داری یا نه! راستی غلط املائی دارم یا نه🤣🤣,-1
96,سلام خسته نباشید - چطوری میتونم با برنامه تماس داشته_باشم؟ از اپلیکیشن روبیکا شکایت دارم! برنده NUM۳ شدم ولی بهم ندادن- یه مبلغ پول میخوان بدن که اونم باید اول برم کنار ماشین و جلوی دوربین بگم که ماشین گرفتم!!! وگرنه پول بهم نمی‌دن!!! من برای صحت گفته هام مدرک دارم,-1
97,اه رشیدپور,-1
98,ااا جنننتی,0
99,آره... این آقا خیلی قشنگ بود🍀 🍀 🍀 🍀 🍀 🍀,1
100,سلام اقای LINK دارید ک اپراتورهای ایرانسل و همراه اول چقدر گرون کردن مبالغ بسته‌های اینترنتی رو افزایش دادن برای مثال یک بسته اینترنتی NUM۲ گیگ روزانه و NUM۲ گیگ شبانه داره بعد از این فاجعه دلار قیمتش افزایش داشت در مرحله بعد NUM۲ گیگ اینترنت شبانه رو حذف کردن ولی شما باز باید همون مبلغ NUM۵ تومان رو پرداخت کنید ب همراه NUM۱٪مالیات در مرحله بعد بسته شبانه رو ب یک قیمت دیگه باز دارن میفروشن ایا این کار یک دولت اسلامیه؟؟؟ دولت ب مردم داره کمک میکنه؟؟؟ لطفا پیگیری کنید جوونا دیگه ب کدوم اینده دلخوش باشن؟؟؟,-1
101,🌞 🌞,0
102,"خانمهای LINK، لوازم خونه، و هر چیز دیگه‌ای که قصد فروشش رو دارید در پیج‌ما اگهی کنید🙏 😀 😀 😀 ❤❤❤🌻 🌻",0
103,سلام خسته LINK شهرستانی هستیم به نام استهبان در استان فارس ک چند سال هست بیمارستانی افتتاح شده و هیچ گونه دکتر و خدمات خوبی ارائه نمیشه. و ما مجبوریم برای درمان به شهرستانهای اطراف LINK کی وضعیت باید اینجوری باشه.,-1
104,شماره پیامکی چنده ??,0
105,درمورد موضوع امروز برنامه من میگم که هیچ مبلغی نمیشه درنظرگرفت برای طولانی LINK یهو نون میشه LINK نمیشه پیش بینی کرد چیزی رو,-1
106,دایرکت ج بدید,0
107,ما ارزو میکنیم ی NUM۳ هزار تومن داشته_باشیم,0
108,الحمدالله که تو کشور ما حقوق بشر رعایت می‌شه,-1
109,ببخشیدکسی میدونه چرانمیشه این کد*NUM۱* NUM۲ TAG روشماره گیری کرد؟,0
110,میدونم پیاممو نمیخونی رشید پور واسه همین چیزی نمی‌گم,-1
111,. LINK حیف تو نیست با این چهره زیبات پاتو بزاری تو کربلای کثیف,-1
112,"درمان تضمینی درد سیاتیک، پا و درد ناحیه لگن در یک جلسه درمانی",0
113,مشاهده فیلم‌های درمانی در پیجم,0
114,مشاوره ۰۹۱۰۹۹۷۹۱۷۹,0
115,درمان سیاتیک استاد مهربخش,0
116,ریز جلبک اسپیرولینا موجب کاهش اشتها افزایش متابولیسم و کاهش وزن کاهش فشار خون کلسترول و قند خون از بین برنده ریزش مو وکم خونی و حفاظت پوست و شادابی پوست و کلاژن سازی و عضله سازی تقویت بینایی ضد التهاب ضد سرطان و پیری و انرژی زا و حاوی NUM۲ _ NUM۲ درصد پروتئین و کلیه ویتامینها و مواد معدنی و آنتی اکسیدانها و علی الخصوص فیکوسیانین معجزه آسا NUM NUM۲ جهت اطلاعات بیشتر پیج ما را دنبال کنید سفارش و مشاوره رایگان دایرکت لطفا,0
117,سلام LINK پیج ما هم دیدن کنین کلی خوراکی خوشمزه داریم برای مهمونیها و مراسم‌های یلدایی شما. سپاس 🌹 🌹,0
118,سلام. و خسته نباشید با اینکه برنامه تون همیشه مورد توجه منه ولی برخورد امروزتون با نصرالله رادش رو اصلا دوست نداشتم... یه جورایی بی احترامی شد,-1
119,سلام صبح بخیر پسرای عزیزم. برنامتون خیلی قشنگه. اما متاسفانه من سر گارم و استثنایی اگر خونه باشم می‌بینم همینطور ادامه بدید خیلی انرژی مثبت هستید. با سپاس سامانی,1
120,👏 👏 👏 👏 🙌,1
121,ساعت عقبه,0
122,"سلام،",0
123,خسته شدیم بخدا,-1
124,نه به تاثیر قطعی معدل درکنکور ۹۸,0
125,من اگر بودم روزنامه را رایگان اعلام میکردم,0
126,یزد آب ندارد,0
127,با پولش یکمم روش میزارم گوشی میخرم گوشی ندارم😣,-1
128,میدمش به کسی که نیاز داره,1
129,خودم نیاز دارم ولی یکی میشناسم که خیلی بیشتر از من نیاز داره,0
130,دلت خیلی گرفته حال روحیم خوب نیس تا حالا کربلا نرفتم ارزومه برم پولو میدادم میرفتم کربلا دوای همه دردامه کاش داشتم ی میلیون,-1
131,چه پارک زیبایی برای شهر دار خونه بسازیم اینجا خیلی خوب میشه😅 😅 😅,1
132,💕 🙌,1
133,با سلام خدمت مجری خوب و توانمند. برنامتون فوق العادست. این روحانی که امروز اومده بود اصلا نمیذاشت شما صحبت کنید که وقت کشی کنه و ازش انتقاد نشه. و خرابکاریاشون رو نشه. واقعا متاسفم,-1
134,LINK تون عالیه... مجریا فوق العاده هستن... از همتون سپاس گذارم... موفق باشید..,1
135,دیروز آقای رشید پور نبودند امروز هم که پنجشنبه هست همکارانشونم نبودن اتفاقی افتاده؟ ما نگرانیم,-1
136,LINK بسیارعالیه.. خداقوت.,1
137,❌❌❌یکی این وسط رسیدگی کنه ب آینده دانشجویان ذخیره لفطااا صدای ما باشین🙏 🙏 🙏 🙏 🙏 ❌❌❌,-1
138,منم تمشک و میگفتم تم شک 😂 😂 😂 😂,1
139,پسرم به آشپزخونه می‌گفت آش کم مونه,1
140,پسرم به سیب زمینی میگفت نمینی😊,1
141,بابام میگه من به بیسکویت گرجی میگفتم بیسکویت کرجی😂 😁,1
142,استاد علی نصیریان,0
143,سلام من دانشجوی دانشگاه غیرانتفاعی هستم بعد از سه جلسه رفتن میخوام که انصراف بدم ولی بهم میگن باید یک و نیم میلیون تومن بدم هم شهریه کامل هم خسارت در صورتی که میگن میتونن کس دیگه یی رو جایگزینم کنن ولی من نه راه پس دارم نه راه پیش این پول برای سه جلسه خیلیه/:,-1
144,جناب رشید پور حجاب جزو فرهنگ ایران آریایی نیست. لطفا ب ایران نچسبون,-1
145,اسم تیتراژ ابتدایی برنامه چیه؟,0
146,سلام تروخدا بگید ب ما شبکه ورزش کارش چیه چرا یه دونه فیلم جذاب برا ما گذاشتن شبکه NUM۱ اونم هی نشونش نمیدن یه روز فوتباله یه روز کشتی یه روزم شهادت حالمون از این فیلم پخش کردنشون بهم میخوره,-1
147,سلام خدا قوت برنامه تون عالی👏 👏 👏,1
148,سلام اسم شو میذاشتم علی با حوضش,0
149,"کلش آف کلنز، محمد رستگاری کوپایی",0
150,سلام چرا پیام منو نمی‌خونی😢,-1
151,یحیی و بدشانسی‌های همیشگی,0
152,"🚘 🚘 🚘 🚘 🚖 🚖 🚖 🚖 سلام آقای رشیدپور بخدا ما خودمونم دیگه خجالت میکشیم در رابطه با شرکت خودرو سازی سایپای بی مسئولیت برای شما و یا دیگر عزیزان پیام بفرستیم، اما باز هم امیدمون به شنیده شدن صدامون از تریبون‌های در اختیار شماست این شرکت نه خودروی ساندروی پیش خرید سال NUM۲ ما را تحویل میدهد نه تکلیفمون رو روشن میکنه نه احترام به ارباب رجوع میگذارد. ضمن اینکه شائبه فروش آزاد آن در بازار، بیشتر باعث آزار و ناراحتی ما میگردد.. این شرکت فقط عشقش این شده که هر NUM۱ ماه یبار بیاد بگه افزایش قیمت داریم... شما بفرمائید ما چه کنیم. شش ماه می‌باشد که به ما دروغ میگه و وعده سرخرمن میده هر ماه میگه آخر ماه آخر ماه‌ها نیز تمام شدنی نیستند متشکر. 🚘 🚘 🚘 🚘 🚘 🚘 🚘",-1
153,LINK LINK خوب شما باعث شده برخی مردم مطالبات به حق خودشان راطرح LINK به عنوان یک شهروند دارای حقوق شهروند خواهش می‌کنمبه نمایندگان محترم مجلس بفرمایید خواهشا فارغ از زدوبند سیاسی و... وزرا را تحلیل و نقد LINK فردی در پست قبلی نتوانسته_است موفق باشد چطور می‌تواند درپست دیگر موفق باشد؟ صدرو بخشنامه‌های متعددو بعضا متناقض باعث شده_است که دود بی برنامگی و عدم مسئولیت به دود کارگران زحمتکشی که ژن خوب نیستند و... LINK اینکه معاون همان فرد هم که دارای همان تفکر است به جای ایشان معرفی می‌شود.,-1
154,خخخ,1
155,مستر درست نیست تو پخش زنده از تیم حکومتیت دفاع کنیو جار بزنی ک پرسپولیسی هستی خودتو از چشم ننداز 💙 💙 💙 💙,-1
156,شیلنگ رو بگیر رو مسوولین بی لیاقت آقای رشید پور😑,-1
157,کیرم توکیسه,-1
