,Tweets,Numeric Labels,Label
40,چرا انگار کل کشور جنوب بودن تو این ده روز =)) استوری هرکیو‌ باز میکنی قشم و هرمزه :)),0,Happy
41,نمیدونم چرا ولی دلم میخواد گریه کنم 😭,1,Sad
42,خدا رو شکر چون مشقام رو نمیتونم بنویسم دارم گریه میکنم.,1,Sad
43,واقعا خیلی پیرم برای اینکه تمرین بنویسم 😫,1,Sad
44,حقیقتا که در نا امیدی بسی امید است.,0,Happy
45,"آغوش مهربانت، از هر جواب خوش تر",4,Intense Emotions
46,میشه آسون بدی ما بچه های خوبی هستیم به خدا,0,Happy
47,چرا نمیمیری حرومزاده ؟,2,Angry
48,بازم نشستی رو به روم مات تماشای توعم💅🏻,4,Intense Emotions
49,رد اشک‌هایت هنوز معلوم است,1,Sad
50,نه ببین این رقص جدید تر بهتره :)))))))))),0,Happy
51,هیچوقت انقدر با عشق آشپزی نکرده بودم,4,Intense Emotions
52,آقا بالاخره پس از انتظار طولانی رسماً پذیرش منم از EPFL اومد =))),0,Happy
53,مچکرم🌹,0,Happy
54,پسرای با ادب و با شخصیت ترن آن ترین نوع پسران.,0,Happy
55,حس میکنم بهم توهین کردی🫣,1,Sad
56,اگه کلمه بودم: شرمساری,1,Sad
57,نتیجه‌ی اپلای‌هاتون واقعاً زیباست.,4,Intense Emotions
58,ولی من عکس یادگاری می‌خواستم... چه حیف.,1,Sad
59,چون خیلی ذوق کردم خودم می‌خوام اینجام از زیبام رو نمایی کنم🥹,4,Intense Emotions
60,"خب سرم خلوت شد، حالا می‌تونم استرسشو شروع کنم. 😭",1,Sad
61,تنها خواننده ایرانی که هیچکس ازش بدش نمیاد,1,Sad
62,یه ماه هویج و سبزیجات خوردن داره نتیجه میده کم‌کم. شلوارهام دارن گشاد میشن,0,Happy
63,وای خدایا دارم دیوانه میشم. کاش زودتر بگذره,1,Sad
64,آخ جون آهنگ جدید قمیشی,4,Intense Emotions
65,چطوری دیدن یه عکس انقدر آدمو غمگین می‌کنه و به گریه میندازتش,1,Sad
66,"در زندگی لبخند بزن و به نظرات منفی توجه نکن. یک روز همان‌ها که برایت boo می‌کشیدن، برای تو و پیشرفت‌هایت دست خواهند زد.",3,Neutral
67,اندر امیدواری,0,Happy
68,به خاطر همینه مهاجرت نمی‌کنم.,3,Neutral
69,دارم ربات میشم,3,Neutral
70,من اگر فردا امنیت داشتم قطعا تا فردا زنده نمیموندم,1,Sad
71,این مپ جدید وارزون واقعا بد کسشریه😭😭,1,Sad
72,"با غمگین بودن مامانم، میمیرم.",1,Sad
73,فقط ۱۶ هفته تا پاییز باقی مونده.,3,Neutral
74,خرداد جالب بود. ‏عجیب بود. ‏ادمای قشنگ دیدم. ‏کتابای قشنگ‌ خوندم . ‏تولدای قشنگ برام گرفتن,0,Happy
75,‏هنوزم شاهکار توییتره 🤌😂,0,Happy
76,‏تولد بهترین داداش دنیااااسسستتتت🥳🥳🥳🥳🥳,4,Intense Emotions
77,‏انباشته‌ام از حسرت‌ها. کاش بترکم.,1,Sad
78,یادش بخیر=)))),0,Happy
79,‏دانشگاهت دولتیه؟ وا نکنه آیفون هم نداری🤢,2,Angry
80,‏عمو پورنگ رو بسیار دوست می داشتم.,0,Happy
81,دوستان کسی اکانت chegg داره یه لطفی کنه؟,3,Neutral
82,‏وقتی یه جوک خوب به ذهنت میرسه ولی کسی نمیفهمه<<<<,1,Sad
83,یه بار خندیدی پررو شدم =)))))),0,Happy
84,"‏به فرزندان خود ""نه"" گفتن بیاموزید.",3,Neutral
85,😔😔😔اصلا از گلوم پایین نمیرفت بیا برات بپزم عسل,4,Intense Emotions
86,"‏میخوام امشب از کسایی ک یه بار تیکه تیکه شدن قلبشون رو دیدن و صدای خورد شدنش رو شنیدن، ‏بپرسم که آیا دوباره حالشون خوب شد ؟ :)",1,Sad
87,"بله، ‏خوب خوب. ‏هیچ وقت فکر نمیکردم خوب شم. ‏ولی منطقم بر احساسم غلبه داره ‏و این پوینت مثبت زندگی منه",0,Happy
88,اوه اوه چه کردی💅,0,Happy
89,‏بسیار حساس شدم و این بده,1,Sad
90,‏خیلی رندم با یکی از نویسنده‌های پیپری که دارم ازش استفاده می‌کنم سر یه میز ناهار نشستم :)))) و بنده خدا وقتی گفت منم یکی از نویسنده‌های این پیپرم پشمام کز خورد :))),4,Intense Emotions
91,‏لازم به یادآوریه که ‏درس‌خوندن + چیز جدید یاد گرفتن = بهترین حس دنیا,1,Sad
92,"‏دلم گرفته از آدمای نصفه‌نیمه، ‏از هرکی که گفت می‌مونه و میذاره میره",1,Sad
93,جدی نمیفهمم چجوری ضرر میدن؟ =))),0,Happy
94,‏خیلی فشاریتون کرده مثل اینکه در ادامه خواستم بگم من خوارزمیم قبول شدم نرفتم که زیاد فشار درس روم نباشه خنگ و هر کسشعریم که گفتید خودتونید چاقالا ؛),2,Angry
95,‏تایم امتحانا کلکسیون درد می‌شم :(,1,Sad
96,دفعه سوم میدونی چی میشه دیگه.,3,Neutral
97,‏امروز می‌تونم بگم روز خوبی بود.,0,Happy
98,‏روز پدر مبارک.💔,1,Sad
99,"‏از وقتی رسیدم خونه چسبیدم به تخت، لعنت به گرمازدگی و آها بی‌نهایت متنفرم از تابستون.",1,Sad
100,"ما معتقدیم که علم و دانش باید فارغ از اعتقادات مذهبی یا فرهنگی باشد. بی شک وجود یک محیط باز و فراگیر در پیشرفت جوامع علمی، نقش به سزایی دارد.",3,Neutral
101,"در ارائه یکی از اساتید، حساب کاربری ما دو بار به صورت خودکار مسدود شد و دلیل آن ظاهرا پوشش ارائه دهنده بود. اگرچه ایشان سال‌هاست خارج از کشور هستند و در زمان ارائه هم ایران نبودند.",3,Neutral
102,"هشتمین دوره سری سمینارهای زمستانه (8th WSS) در ۱۷ الی ۲۰ فروردین به صورت هیبربد (مجازی و حضوری) برگزار شد. برای استریم ارائه اساتید خارج از کشور، از پلتفرم آپارات استفاده شد. اما متاسفانه در یکی از ارائه‌ها با مشکل مسدود شدن حساب کاربری رو به رو شدیم.",3,Neutral
103,"آخه فک کن، دانشجوی شریفی. هیچ‌وقت، لیترالی هیچ‌وقت فکر میکنی بری زندان. مگه دزدی؟ قاتلی؟ قاچاقچی‌ای؟ چرا؟ حتی ولشونم کنن یه شب هم یه شبه. فک کن یه شب زندان.",1,Sad
104,خط چشم جذاب بهتر از هر نوع آرایش دیگه‌ای,4,Intense Emotions
105,عادت کردیم به قوی بودنای الکی..,1,Sad
106,بعد از مدتها از یه کیف پول خوشم اومد و گس وات؟ ۴ و فاکینگ ۲۰۰ تومنه ://////,1,Sad
107,رِد فلگ بَده. بَده. بَده تا زمانی که یکی پیدا میشه که رد فلگ مکمل توعه 🤷🏻‍♂️,1,Sad
108,ولی مغز trainable عه ها.. بعضی خاطره ها توی مغزم انقد عوض شدن که الان فقط از روی چند تا عکس میتونم واقعیشو پیدا کنم,3,Neutral
109,نمیدونم چرا هی می‌نویسم و درفت میکنم :/,1,Sad
110,استاک نکن دوست عزیز.,1,Sad
111,ببین ترم هشتی به چه خفتی افتادیم.,1,Sad
112,از آدمایی که سفت دست میدن خوشم میاد.,0,Happy
113,"باید از ۶ نمره امتحان فردا، ۱.۵ نمره بگیرم ولی هیچ امیدی به گرفتنش ندارم.",1,Sad
114,کونت پاره‌ست. وایسا حالا.,2,Angry
115,خسته و پاره اومدم دو دیقه آهنگ گوش کنم هندزفریم افتاد زیر تخت 😭😭😭,1,Sad
116,خوبی خوردن گیلاس تو تاریکی اینه که کرم‌ها رو نمی‌بینی و با خیالی آسوده میوه‌ رو می‌خوری :),0,Happy
117,ححححققق!,0,Happy
118,پشمام ولی 😂,4,Intense Emotions
119,خدایاااا منم واقعا ناراحت شدم اونقدر سریالش خوب نیست. د ویکند عزیزم🥲,1,Sad
120,طرف بهم میگه تو بایاسدی چون حزب‌الهی ببینی جاجش می‌کنی و این خیلی بده. واقعا الله الله. اجازه بده دیگه نخوام با یه گروه از آدما که یه گسست عمیقی بینمونه ارتباط داشته باشم:/,1,Sad
121,"و‌ بازگشت. سلام به توییتر فارسی، سانتیمانتالیسم، نظرات احمقانه، و توییت های آموزنده‌ی آقای محمدخانی.",0,Happy
122,انگار از گروه فامیلمون مستقیم فوروارد کردم,3,Neutral
123,من واقعا از اتفاق های خوب برای اطرافیانم عمیقا خوشحال می‌شم. امیدوارم سالی که میاد پر از اتفاق های عالی و خبرای خیلی خوب باشه.,0,Happy
124,وای امان از آدمای دوزاری.,2,Angry
125,دیشب دوستم وسط کنسرت evanescence بود و من داشتم ازش سوال درسی می‌پرسیدم :))) حالا اینکه من چرا داشتم می‌پرسیدم به کنار اون چرا داشت جواب می‌داد :))))),0,Happy
126,"اگر ""نه بابا،حالم خوبه، فقط یکم خستم"" عکس بود:",1,Sad
127,سر راه برگشتنت آینه میکارم...',4,Intense Emotions
128,"صید تو شدم تا که فنای تو شَوم. ای جان به فدای تو، فدای تو شَوَم",4,Intense Emotions
129,از من گریز تا تو هم در بلا نیوفتی..,1,Sad
130,"ساده‌ترین راه برای آن که آدم شهری را بشناسد این است که سر در بیاورد آن جا مردم چطور کار می‌کنند، چطور محبت می‌ورزند و چطور می‌میرند. در شهر کوچک ما، شاید آب‌و‌هوا باعث شده هر سه‌شان را کم‌و‌بیش یک‌جور انجام دهند",3,Neutral
131,"ممنانم، که تخمی‌ترین روزها رو خوب می‌کنی.",0,Happy
132,"بابام داشت نوه‌ی داداشش رو بوجی موجی می‌کرد، رفتم گفتم نوه می‌خوایا🤰یه پنج دقیقه‌ای فکر کرد اومد تو اتاقم گفت: آره. پلن عوض شد بچه‌ها.",0,Happy
133,می‌خوام عشقتو فراموش کنم نوتیفت رو خاموش کنم,4,Intense Emotions
134,"من همیشه حالت تهوع دارم، ینی اگه نداشته باشم یه جای کار می لنگه",1,Sad
135,برای ارائه یکی از درسام یکی از دوستان انیمیشن اموزشی درست کرد و منم صدا گذاری کردم. وقتی رفته بودم خونه دیدم صدام داره پخش میشه به مامان گفتم فک کردم به بابا نشونش دادی گفت نشون دادم از همون موقع قبل خواب اول صداتو گوش میده بعد میخوابه =),0,Happy
136,متنفرم از اینکه حس کنم دارم مزاحم تنها آدمی که دلم میخواد باهاش حرف بزنم میشم.,1,Sad
137,"صبح شد، شب‌بخیر🌹",4,Intense Emotions
138,"نامردا شما گفتید دانشگاه خوش میگذره، من که دارم رو کتابم گریه میکنم :')",1,Sad
139,15 اهنگ عاشقانه پاپ تو کنسرت خونده شد و من هر چی به ذهنم فشار میاوردم حتی یه نفر رو هم به یاد نمیاوردم که با اهنگا فاز بگیرم🌹,4,Intense Emotions
140,"کافیه یکی دو سال از علوم پزشکی بودنتون بگذره تا ببینید کسایی که مشاوره تحصیلی میدن قریب به ۸۰٪ ادمایین که به هیچ عنوان صلاحیت مشاوره تحصیلی بودن رو که ندارن هیچ، کصخل هم تشریف دارن🌹",2,Angry
141,تو صف غذای سلفم و جلوییم بدترین مشاوره تحصیلی که میشه به یه دانش آموز سال دهمی کرد رو در حالی که داره خودشو میخارونه بهش میگه و من هی دعا دعا میکنم به حرفاش گوش نده -_-,1,Sad
142,این خیلی احساس عجیبی داره که دلت می‌خواد به یکی پیام بدی اما یهو یادت میفته نمی‌تونی بهش پیام بدی چون دیگه باهم دوست نیستین. و عجیب‌تر اینه که مغزت واقعا می‌تونه برای لحظاتی فراموشی کامل بگیره. عجیب و غم‌انگیزه.,1,Sad
143,متاسفانه حد وسط ندارم یا ماکس میشم یا مین🧚🏻‍♀️🌹,3,Neutral
144,امروز حرف زدن با آدم‌ها و لبخند زدن بهشون برام سخته.,1,Sad
145,اگر پلک‌هام کش می‌اومدن و می‌کشیدمشون روی تمام تنم خوب می‌شد.,0,Happy
146,از ماه غافل نشید.,3,Neutral
147,"عاه پسر، تو اولین هالووین بعد مهاجرتم اینو با زید زمانم کاسپلی می‌کنم.",4,Intense Emotions
148,شنبه‌زاده منشنم رو جواب داد. اتچ می‌کنم به رزومه‌م.🙏,0,Happy
149,انقد دوسش دارم که خوابم نمیبره اه😭💕,4,Intense Emotions
150,از تو بهترم مگه داریم؟ ما که از این حرفا نداریم.,4,Intense Emotions
151,کامیون‌های بیمه اهل‌بیت خیلی اِیمِن اند.,0,Happy
152,کاش یکی بیاد مسئولیت زندگی کیری رو گردن بگیره. دلم نمیاد به خودم فحش بدم.,2,Angry
153,کاش می‌تونستم عروسی سده‌ای و آهنگ فریبا رو واستون توصیف کنم.,0,Happy
154,"شاید باشی 20، ولی in fact تو عنی.",2,Angry
155,"یک روزی میرسه که یادم نمیاد چندتا ۷۰ روزه که من، از تو، خبر ندارم.",4,Intense Emotions
156,نیاز دارم یکی امشب ببرتم بیرون و بهم بگه «خوشگلم من تو رو هنوز دوست دارم و مهم نیست که گیم تئوری رو میفتی».,4,Intense Emotions
157,شاید فضلی همون Sauron عه.,3,Neutral
158,امیدوارم از فضل پدرت تو رو چیزی حاصل نشه پسر استاد عزیزم که اسمش رو فراموش کردم.,0,Happy
159,کاش اینقدر سخت باشه که همه مثل خودم صفر بشن.,4,Intense Emotions
160,امام گیم‌تئوری کیه؟,3,Neutral
161,آهنگ «مهتاب خجالت بکش» داریوش >>>>>>>,0,Happy
162,یعنی خاک تو سرت که نمیتونی حتی یه دروغ بگی😂😂,0,Happy
163,"وای این سه روز واقعا باسنم سر امتحانا رفت ولی حس میکنم ارزششو داشت، ایشالله نمراتمم خوب بشه",0,Happy
164,"علیرضا چند وقته که میخواد با استاد سلیمانی پروژه برداره منتهی خانم سلیمانی همش میگه جا ندارم و اینا، امروز علیرضا دوباره مطرح کردش و منم بودم، به خانم سلیمانی گفتم که علیرضا بابا خیلی خفنه، گفت پس اگر آقای یعقوبی میگن که دیگه من نه نمیتونم بگم🥹 چقدر این انسان شریففففه😍❤️🙏",4,Intense Emotions
165,وای من چقدر استاد سلیمانی رو دوس دارم,4,Intense Emotions
166,برای بار آخر همدیگر رو دیدیم و قلب تیر کشید امیدوارم در آینده نزدیک بتونم بازم دخترخالمو از نزدیک ببینم😭😭,1,Sad
167,این رو به روش دقیقا جادس و میتونی بزنی بقل و تا ناموس ویلارو دید بزنی. من اولین بار که اینو دیدم پشمام سر این ریخت که حاجی زمین قحط بود این همه هزینه کردی لیترالی کوهو کندی که ویلاتو تو چشششش ترین حالت ممکن بسازی؟!,4,Intense Emotions
168,دوس دارم همیشه راه سخته رو,0,Happy
169,امروز توان درس نیست 🕺,1,Sad
170,کلا دو نفریم تو مرکزی عاححححح,1,Sad
171,کیرم تو ورد چقدر کصشعره,2,Angry
172,جدی این ملت کصخلن واسه یکی دو بارم نگفتن همش دنبال پروپانول میگردن برای سفارت,2,Angry
173,ولی حقیقتا بوردگیم ۲ساعته وسط دانشکده بعد از ۳ ساعت و نیم امتحان یک چیز دیگه‌ست فقط کونت درد می‌گیره ی مقدار از زمین نشستن :)),0,Happy
174,"تا آخر عمرم فکر کنم یه ۷,۸ بار دیگه بشینم گلادیاتور رو ببینم",0,Happy
175,اپیزود آخر اکوتوپیا قدرت پشیمانی,1,Sad
176,این انگار سریاله ولی من فقط یه قسمتش رو داشتم و همونو صد بار دیدم,0,Happy
177,این فیلم قشنگ نقطه مقابل اون عروسیه‌ست,3,Neutral
178,"خایه مالی بدجور ریشه کرده، اوکی خوبه خوشگله خیلی زیباست ولی دیگه چرا کوسشر تفت میدی اخه",2,Angry
179,"تنها راه نجات کشور = رهبری، مازراتی شاسی بلند ۲۰۲۳ وارد کرده",1,Sad
180,دنیا واسه پولداراست. زندگی فقرا هم سرشار از حسرت و بدبختی و سگدوی بی‌‌نتیجه,1,Sad
181,"گفتی: غزل بگو. چه بگویم؟ مجال کو؟ بشکسته‌ام! برای غزل، شور و حال کو؟‌",4,Intense Emotions
182,مرا به‌خاطر دلِ‌شکسته‌ام ببخش ….!,1,Sad
183,"تویی تمام ماجرا، که رفته‌ای ولی مرا به حال خود نمی‌گذاری صدای قلب من، چرا غمت نمی‌کشد مرا؟ چرا هنوز ادامه داری؟",1,Sad
184,"و دائم‌الغَمی اما، خودت ادامه نداری …!",1,Sad
185,این ویدیوی عروسیه دقیقا چی داره که انقدر همه روش قفلی زدن جدی؟ خیلی خاصه مدل رقصشون و اینا؟ یکی برا من توضیح بده :),0,Happy
186,خونم افسوس که در عهد پشیمانی ریخت… که نه افسوس ز قتلم نه پشیمانی داشت :),1,Sad
187,شایدم یادم افتاد وجود نداره.,1,Sad
188,باز یادم افتاد وجود داره.,1,Sad
189,این پسره چه میلاد کی‌مرامی بود و ما نمی‌دونستیم. بلا به دور.,1,Sad
190,همینکه آخر ترم یه درس برام جدید محسوب می‌شه نشون می‌ده هنوز آدم نشدم. =)),0,Happy
191,اثرات ۳ سال آکبند نگه داشتن:,3,Neutral
192,همیشه استراتژی درست مطالعه یه درس جدیدو وقتی ۸۰ درصد تایمم رفته پیدا می‌کنم.,1,Sad
193,یاحسین این امتحانا حواسمو پرت کرد و الان مانده یک هفته.,1,Sad
194,این بنده خدا رو هم الکی گذاشتن تو بلک لیست دانشکده.,1,Sad
195,سه تا وویس ۱۵ ثانیه‌ای ✅️ یه وویس ۴۵ ثانیه‌ای ❌️,0,Happy
196,چه فرقی می‌کنه کی ناراحت بشه وقتی ناراحتی همه دیر یا زود تموم میشه و تو فراموش میشی؟✨,1,Sad
197,"شبا از یک ساعتی که بیشتر بیدارم، بعدش دیگه غم ها و ناراحتی ها نمیذارن بخوابم.",1,Sad
198,"یک حسی بهم میگه تهش این عروس خوشگله دختر یک آیت اللهی چیزیه، یا پسره دکل نفتی دزدیده، نمد",4,Intense Emotions
199,واقعا دوست دارم یه بار یه road trip گروهی به سبک جرمی کلارکسون و رفقا برم. سبک‌بارطور. روزها رانندگی کنی بری شهرهای مختلف مسخره‌بازی و جاهای کمتر معروف رو بچرخی بعدش شب یه جایی بخوابی و چندشبانه روز تکرار کنی تا برسی به مقصدت. بدون عجله و محدودیت زمانی.,0,Happy
200,تفریح جدید: Omegle,0,Happy
201,ورودی تهران واقعا یکی از دلگیرترین مکان‌های ایرانه.,1,Sad
202,کانورژ کن پدرسگ,2,Angry
203,دیشب وسط حوضِ خونه ای قدیمی  تو دل کوچه پس کوچه های اصفهان به دور از هیاهو و شلوغی آدما شمع تولدم رو فوت کردم 🩵🪐☁️,0,Happy
204,آه از همه‌ی قلب های شکسته...,1,Sad
205,ﯾﮏ ﺩﻡ ﺧﻮﺵ ﺭﺍ ﻫﺰﺍﺭﺍﻥ ﺁﻩ ﺣﺴﺮﺕ ﺩﺭ ﻗﻔﺎﺳﺖ ﺧﺮﺝ ﺑﯿﺶ ﺍﺯ ﺩﺧﻞ ﺑﺎﺷﺪ ﺩﺭ ﺩﯾﺎﺭ ﺯﻧﺪﮔﯽ #صائب_تبریزی,1,Sad
206,ما خدا را داریم در آنچه گذشت و آنچه هست و آنچه خواهد آمد!,0,Happy
207,پشه‌های دستشویی ما ول‌کن کیر ما نیستن. کسکش برو اونور شاشی میشی خب.,2,Angry
208,اقا این Blake and Mortimer واقعا محتوای خوبیه برای یادگیری انگلیسی برای بچه‌ها و برای اونایی که زبانشون خوب نیست.,0,Happy
209,"تو یه روستایی تو گیلان دیدم زن جوانی فوت شده بود و تو چند جای اون روستا بنری از تصویر و اسمش رو زده بودن، که فک کنم تو خیلی از مناطق ایران حتی بعد از مرگ هم حق و شخصیتی برای زنان قائل نمیشن و عکس و اسمشون رو تو اعلامیه یا روی سنگ مزارشون نمیزنن.",1,Sad
210,من اینقد خوشم میاد بی‌جهت از خواب بیدارم کنن. شما هم مث منید؟,0,Happy
211,"من تا حالا ندیدم یکی بگه ""همه‌ی پولدارا تو ایران لزوما وصل نیستن"" و وصل نباشه.",0,Happy
212,تیک آبی :))))))),0,Happy
213,چشم‌نظر =)))))))))) کدی‌ترین پدیده‌ی جهانه این چشم‌نظر. با این همه پول و زلم زیمبو واقعا هنر میخواد اینقد خز باشه آدم.,0,Happy
214,"داداش شما یه جق بزن، بخدا اونجوری که تو فک میکنی هم نیست.",2,Angry
215,"چون جمعه نمیتونه بمیره میفهمه پنجشنبه قراره بمیره، پس پنجشنبه هم نمیمیره. همینطوری پیش برید هیچ روزی نمیتونه بمیره. ولی یهو سه‌شنبه جلاد میاد میکشتش. مشکل کجاس؟",1,Sad
216,"بذارید قشنگ‌ترین پارادکسی که شنیدم رو بگم بهتون. به یه زندانی میگن هفته‌ی دیگه میکشیمت ولی تا قبل از اومدن جلاد نمیدونی چه روزی قراره بمیری. حالا اگه پنجشنبه شب بگذره و جلاد نیاد، میفهمه جمعه قراره بمیره. پس جمعه نمیتونن بکشنش. اگه چهارشنبه شب بگذره،/",0,Happy
217,اینا که می‌خواستن تایتانیک رو ببینن چرا دانلودش نکردن؟,3,Neutral
218,دیگه شوخی بسه. برام فاینال فنتزی بخرید.,0,Happy
219,اتاق ما ( پنکه و کولر با هم دارن ۲۴ ساعته کار می‌کنن) :,3,Neutral
220,شیراز >>>>,0,Happy
221,موسیقی/ دل نوشته/ هر مطلب جالب و قابل بحث رو پذیرام تو شناس یا ناشناس بفرستید,0,Happy
222,هیربد وقتی میاد میبینه من بجای زدن پروژه‌های مشترک دارم اشپزی می‌کنم و تو اینستا چرخ میزنم :,0,Happy
223,"غذای ایرانی باید در وعده خرکی باشه تا بچسبه، ینی یکی از عناصر خود غذا حجم زیادش هست😂",0,Happy
224,معلومه که بگام‌من,1,Sad
225,"اون کلینکس که به دستمال کاغذی میگن، در واقع ایشونه با برند",3,Neutral
226,"با ۶۲۰ میلیارد میتونی مجوز MVNO بگیری، اوپراتور مجازی تلفن همراه بشی، یک رنج سرشماره‌ی کامل واسه خودت داشته باشی🫴",3,Neutral
227,راهنمایی: فاتحه صنعت نرم‌افزار رو تو ایران بخونید🫴,1,Sad
228,"جواب‌ها عموما درست بود، با وضعیت تورم و هرینه‌های فعلی الان حدودا ۲ میلیارد تومن با حقوق غیر رقابتی و خسیس بازی و بالای ۳ میلیارد در صورت کمی گشاده دستی، تازه این هزینه ماهانه در حال افزایشه، حالا سوال بعدی: یه شرکت نرم‌افزاری تو این ابعاد کوچیک چطور باید خرج یکسالش رو در بیاره؟",3,Neutral
229,"هرکی این چند روزه پرسید که من کیم و چرا بی‌دلیل بلاکش کردم، اسکرین این توییت رو بهش بدید، حدودا ۳۰ نفری تا الان بلاک کردم و همچنان ادامه داره🫴",1,Sad
230,"ایران‌اینترنشنال یه یارویی رو آورده بود و یاروعه واقعا داشت واسه این درگیریه ماله میکشید. مثلا میگفت «سران دیگه‌ی اپوزیسیون هم همینن فقط اسلحه ندارن وگرنه شما ببین تو توییتر فحش میدن🥺🥺» (اشاره به رضا پهلوی)، فقط پشمام ریخته چه حرومزاده‌های پررویین اینا.",1,Sad
231,این دگوری ها از بدو تاسیسشون تا الان با هم مشکل دارن هر حزب کلی انشعاب داره که اینا با هم دعوا دارن؛ از اونور خود احزاب با هم بتل تاریخی دارن. جالبه واقعا جالب.,2,Angry
232,بسه دیگه خودتون رو گاییدید با عروسی؛ کار و زندگی ندارید؟,2,Angry
233,ادا ادا ادااا کسشر.,2,Angry
234,🤭🤭🤭,0,Happy
235,هانتر‌ بایدن شبیه فخرآور نیست؟,3,Neutral
236,توی همه ی منشن ها این زنیکه رو مثال زده :)))) ریدم تو حلق تو و اون عنتر جایزه‌بگیر.,2,Angry
237,بیا برو زنیکه کیر زیدم دهنت.,2,Angry
238,یه قسمت از نارنیا همچین صحنه‌ای رو به تصویر میکشه که کاش تو اون قسمت زندگی میکردم,0,Happy
239,بغل علیرضا قربانی و می‌خوام بعد برام آهنگ هم گناه و بخونه من بمیرم,1,Sad
240,دچار فروپاشی شدم عزیزانم‌,1,Sad
241,"تمام حس‌های منفی دنیا در من جمع شده از جمله خوب‌نبودن ، زیبا نبودن،ناکافی‌بودن، دوست‌نداشتنی بودن ، کیررر خر بووودن",1,Sad
242,فقط همینقدرررر دقیقا اینقدر 🤏 مونده کیر کنم تو همه چی,2,Angry
243,"امروز یه خانوم مسن با یه بولیز گل گلی با موی لخت و رنگ شده بدون روسری داشت پیاده‌روی می‌کرد ، چشمام از اون موقع اکلیلیه.",4,Intense Emotions
244,از ترس از‌دست دادن پنیک می‌کنم,1,Sad
245,به اون آدم‌هایی که راحت خوابشون می‌بره و نمی‌دونن با دارو خوابیدن چه سخته حسادت می‌کنم .,1,Sad
246,"به‌قران که کرینج‌تر از پیشید، دارید کرینج‌تر هم می‌شید.",1,Sad
247,قسمت نمیشه اینگار دست تو را بگیرم,1,Sad
